user_id,status,methods,activation_date,last_verification,failed_attempts
user_001,activé,hardware_token,2023-07-16,2023-08-27,1
user_002,activé,sms,2024-02-24,2024-03-17,0
user_003,désactivé,,,,2
user_004,activé,email,2023-09-15,2023-12-23,4
user_005,activé,email|hardware_token,2023-07-31,2024-02-27,0
user_006,activé,sms|app,2023-04-09,2024-01-11,0
user_007,activé,hardware_token|email,2024-01-11,2024-03-29,0
user_008,activé,email,2023-02-23,2023-04-30,0
user_009,activé,hardware_token,2023-02-21,2023-04-22,0
user_010,activé,sms|email,2023-02-18,2023-07-13,0
user_011,activé,sms,2024-01-01,2024-03-14,0
user_012,désactivé,,,,0
user_013,activé,email,2024-02-25,2024-02-29,0
user_014,activé,app,2023-09-12,2023-10-13,0
user_015,activé,sms,2023-10-24,2024-01-14,0
user_016,activé,hardware_token,2023-07-02,2024-03-13,0
user_017,désactivé,,,,3
user_018,désactivé,,,,4
user_019,activé,app,2023-07-30,2023-10-09,0
user_020,désactivé,,,,0
user_021,activé,email,2023-09-30,2024-03-12,0
user_022,désactivé,,,,0
user_023,désactivé,,,,3
user_024,activé,app,2023-11-14,2024-03-22,0
user_025,activé,email,2023-06-21,2023-08-19,5
user_026,activé,sms|email,2023-03-19,2023-07-04,3
user_027,activé,hardware_token,2023-08-30,2024-01-15,0
user_028,désactivé,,,,4
user_029,activé,hardware_token,2023-03-30,2023-08-31,0
user_030,activé,sms,2023-04-29,2023-09-22,1
user_031,activé,sms|hardware_token,2023-05-19,2023-12-21,0
user_032,activé,app,2023-02-17,2023-04-27,3
user_033,activé,email,2023-12-28,2024-03-05,0
user_034,activé,app,2023-10-18,2024-01-09,0
user_035,activé,sms,2023-11-01,2024-01-03,0
user_036,désactivé,,,,0
user_037,activé,app,2023-06-09,2023-07-30,0
user_038,activé,sms|hardware_token,2023-04-28,2023-07-10,3
user_039,désactivé,,,,0
user_040,activé,email|app,2024-01-26,2024-03-19,0
user_041,activé,email,2023-04-20,2023-06-26,0
user_042,activé,email,2023-02-28,2023-05-15,0
user_043,activé,hardware_token,2023-04-06,2023-06-22,3
user_044,désactivé,,,,0
user_045,activé,sms,2023-12-16,2023-12-24,0
user_046,désactivé,,,,0
